filename,width,height,class,xmin,ymin,xmax,ymax
BloodImage_00281_jpg.rf.081a65795c2f3b2699dfa1265cc5fbfe.jpg,640,480,RBC,112,140,221,242
BloodImage_00281_jpg.rf.081a65795c2f3b2699dfa1265cc5fbfe.jpg,640,480,RBC,79,45,176,148
BloodImage_00281_jpg.rf.081a65795c2f3b2699dfa1265cc5fbfe.jpg,640,480,RBC,1,254,112,366
BloodImage_00281_jpg.rf.081a65795c2f3b2699dfa1265cc5fbfe.jpg,640,480,RBC,111,345,222,454
BloodImage_00281_jpg.rf.081a65795c2f3b2699dfa1265cc5fbfe.jpg,640,480,RBC,120,258,238,363
BloodImage_00281_jpg.rf.081a65795c2f3b2699dfa1265cc5fbfe.jpg,640,480,RBC,232,52,349,186
BloodImage_00281_jpg.rf.081a65795c2f3b2699dfa1265cc5fbfe.jpg,640,480,RBC,413,121,531,226
BloodImage_00281_jpg.rf.081a65795c2f3b2699dfa1265cc5fbfe.jpg,640,480,RBC,529,265,639,374
BloodImage_00281_jpg.rf.081a65795c2f3b2699dfa1265cc5fbfe.jpg,640,480,RBC,1,1,126,100
BloodImage_00281_jpg.rf.081a65795c2f3b2699dfa1265cc5fbfe.jpg,640,480,RBC,522,73,617,197
BloodImage_00240_jpg.rf.068edd07b2f269739f6ed437129aaef8.jpg,640,480,RBC,373,277,477,385
BloodImage_00240_jpg.rf.068edd07b2f269739f6ed437129aaef8.jpg,640,480,RBC,188,267,313,390
BloodImage_00240_jpg.rf.068edd07b2f269739f6ed437129aaef8.jpg,640,480,RBC,279,149,404,272
BloodImage_00240_jpg.rf.068edd07b2f269739f6ed437129aaef8.jpg,640,480,RBC,141,1,270,71
BloodImage_00240_jpg.rf.068edd07b2f269739f6ed437129aaef8.jpg,640,480,RBC,74,236,170,326
BloodImage_00240_jpg.rf.068edd07b2f269739f6ed437129aaef8.jpg,640,480,RBC,39,111,135,201
BloodImage_00240_jpg.rf.068edd07b2f269739f6ed437129aaef8.jpg,640,480,RBC,144,311,240,401
BloodImage_00240_jpg.rf.068edd07b2f269739f6ed437129aaef8.jpg,640,480,RBC,443,364,539,454
BloodImage_00393_jpg.rf.04a64a0054ab68ecabad8fc29d517eea.jpg,640,480,RBC,398,290,519,416
BloodImage_00393_jpg.rf.04a64a0054ab68ecabad8fc29d517eea.jpg,640,480,RBC,141,240,275,366
BloodImage_00393_jpg.rf.04a64a0054ab68ecabad8fc29d517eea.jpg,640,480,RBC,1,189,120,278
BloodImage_00393_jpg.rf.04a64a0054ab68ecabad8fc29d517eea.jpg,640,480,RBC,1,373,87,479
BloodImage_00393_jpg.rf.04a64a0054ab68ecabad8fc29d517eea.jpg,640,480,RBC,125,15,247,124
BloodImage_00393_jpg.rf.04a64a0054ab68ecabad8fc29d517eea.jpg,640,480,RBC,105,122,227,231
BloodImage_00393_jpg.rf.04a64a0054ab68ecabad8fc29d517eea.jpg,640,480,RBC,276,394,388,479
BloodImage_00393_jpg.rf.04a64a0054ab68ecabad8fc29d517eea.jpg,640,480,RBC,539,12,624,95
BloodImage_00393_jpg.rf.04a64a0054ab68ecabad8fc29d517eea.jpg,640,480,RBC,354,20,485,134
BloodImage_00393_jpg.rf.04a64a0054ab68ecabad8fc29d517eea.jpg,640,480,RBC,256,1,369,104
BloodImage_00393_jpg.rf.04a64a0054ab68ecabad8fc29d517eea.jpg,640,480,RBC,321,271,431,378
